Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TXG,"10x Genomics, Inc.",94.65,$9.31B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",6.14,$505.69M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",4.5201,$27.43M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",24.9,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.75,$54.46M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800-FLOWERS.COM, Inc.",25.16,$1.62B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.215,$45.71M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
ONEM,"1Life Healthcare, Inc.",35.58,$4.49B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
FCCY,1st Constitution Bancorp (NJ),11.9,$121.4M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,34.65,$884.81M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",22,$2.49B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",42.23,$2.7B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",13.15,$1.93B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
KRKR,36Kr Holdings Inc.,3.47,$130.11M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,
JOBS,"51job, Inc.",66.48,$4.45B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
ETNB,"89bio, Inc.",31.67,$533.71M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,
JFK,8i Enterprises Acquisition Corp,10.28,$76.35M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.4,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,11.89,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.38,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,16.11,$1.67B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
NMTR,"9 Meters Biopharma, Inc.",0.514,$49.47M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr,
JFU,9F Inc.,1.77,$345.49M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AAON,"AAON, Inc.",57.64,$3B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,2.88,$241.05M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
ABMD,"ABIOMED, Inc.",292.94,$13.2B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,0.2215,$37.23M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,6.9,$495.83M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",67.6,$2.82B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,4.07,$198.23M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",28.905,$2.57B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,43.46,$6.77B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,
ACAM,Acamar Partners Acquisition Corp.,10.44,$398.77M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam,
ACAMU,Acamar Partners Acquisition Corp.,10.67,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu,
ACAMW,Acamar Partners Acquisition Corp.,1.05,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw,
ACST,"Acasti Pharma, Inc.",0.67,$61.97M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",15.6,$862.22M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx,
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp,
XLRN,Acceleron Pharma Inc.,106.15,$6.31B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn,
ACCD,"Accolade, Inc.",32.94,$1.61B,2020,n/a,n/a,https://old.nasdaq.com/symbol/accd,
ARAY,Accuray Incorporated,2.21,$199.93M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray,
ACEV,ACE Convergence Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acev,
ACLL,"ACell, Inc.",n/a,n/a,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/acll,
ACRX,"AcelRx Pharmaceuticals, Inc.",1.18,$95.3M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,3.31,$33.92M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer,
ACHV,"Achieve Life Sciences, Inc. ",0.4896,$18.37M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv,
ACIW,"ACI Worldwide, Inc.",27.195,$3.15B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",2.15,$90.01M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",85.02,$1.55B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,22.64,$196.29M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",0.7639,$36.65M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor,
ATVI,"Activision Blizzard, Inc",79.99,$61.63B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi,
ADMS,"Adamas Pharmaceuticals, Inc.",2.6,$73.21M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,1.05,$77.62M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp,
AHCO,AdaptHealth Corp. ,18.54,$1.83B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco,
ADAP,Adaptimmune Therapeutics plc,8.8,$1.35B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap,
ADPT,Adaptive Biotechnologies Corporation,36.33,$4.66B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt,
ADXN,Addex Therapeutics Ltd,9.4001,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn,
ADUS,Addus HomeCare Corporation,93.37,$1.45B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus,
AEY,"ADDvantage Technologies Group, Inc.",2.36,$24.71M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey,
ADIL,"Adial Pharmaceuticals, Inc",1.4,$18.83M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil,
ADILW,"Adial Pharmaceuticals, Inc",0.2405,n/a,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw,
ADTX,"ADiTx Therapeutics, Inc.",4.01,$20.74M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx,
ADMA,ADMA Biologics Inc,2.9,$250.4M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma,
ADBE,Adobe Inc.,430.31,$206.4B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
ADTN,"ADTRAN, Inc.",12.6,$604.26M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn,
ADRO,"Aduro Biotech, Inc.",2.76,$223.24M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro,
ADES,"Advanced Emissions Solutions, Inc.",4.5,$83.22M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades,
AEIS,"Advanced Energy Industries, Inc.",68.63,$2.63B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis,
AMD,"Advanced Micro Devices, Inc.",69.4,$81.28B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd,
ADXS,"Advaxis, Inc.",0.598,$36.84M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs,
ADVM,"Adverum Biotechnologies, Inc.",17.21,$1.38B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm,
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,21.4394,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dweq,
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,29.1426,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwaw,
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,28.4877,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwus,
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,21.815,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwmc,
DWSH,AdvisorShares Dorsey Wright Short ETF,18.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwsh,
ACT,AdvisorShares Vice ETF,24.6887,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/act,
AEGN,Aegion Corp,16.04,$492.16M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn,
AGLE,"Aeglea BioTherapeutics, Inc.",7.24,$322.9M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle,
AEHR,Aehr Test Systems,2.2,$50.63M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr,
AMTX,"Aemetis, Inc",0.8304,$17.18M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx,
AERI,"Aerie Pharmaceuticals, Inc.",12.18,$565.98M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri,
AVAV,"AeroVironment, Inc.",75.29,$1.81B,2007,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav,
ARPO,"Aerpio Pharmaceuticals, Inc.",1.48,$60.07M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo,
AIH,Aesthetic Medical International Holdings Group Ltd.,4.72,$111.45M,2019,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih,
AEZS,AEterna Zentaris Inc.,0.4719,$19.41M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs,
AEMD,"Aethlon Medical, Inc.",2.02,$24.35M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd,
AFMD,Affimed N.V.,3.94,$300.42M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd,
AFYA,Afya Limited,25.3,$2.35B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya,
AGBA,AGBA Acquisition Limited,10.3,$61.54M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agba,
AGBAR,AGBA Acquisition Limited,0.2989,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbar,
AGBAU,AGBA Acquisition Limited,10.515,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbau,
AGBAW,AGBA Acquisition Limited,0.44,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw,
AGEN,Agenus Inc.,3.24,$550.08M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen,
AGRX,"Agile Therapeutics, Inc.",2.45,$213.67M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx,
AGYS,"Agilysys, Inc.",17.735,$415.01M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/agys,
AGIO,"Agios Pharmaceuticals, Inc.",50.8,$3.5B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio,
AGMH,AGM Group Holdings Inc.,17.95,$518.59M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh,
AGNC,AGNC Investment Corp.,13.52,$7.56B,2008,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc,
AGNCM,AGNC Investment Corp.,22.32,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm,
AGNCN,AGNC Investment Corp.,23.3,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn,
AGNCO,AGNC Investment Corp.,22.55,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco,
AGNCP,AGNC Investment Corp.,21.81,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncp,
API,"Agora, Inc.",43.08,$4.27B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/api,
AGFS,"AgroFresh Solutions, Inc.",2.3,$119.73M,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfs,
AGFSW,"AgroFresh Solutions, Inc.",0.0141,n/a,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfsw,
AIKI,AIkido Pharma Inc.,1.21,$42.25M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/aiki,
ALRN,"Aileron Therapeutics, Inc.",0.969,$38.03M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alrn,
AIMT,"Aimmune Therapeutics, Inc.",14.52,$947.44M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aimt,
AIRT,"Air T, Inc.",11.4499,$33M,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airt,
AIRTP,"Air T, Inc.",21.45,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtp,
AIRTW,"Air T, Inc.",0.0527,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtw,
ATSG,"Air Transport Services Group, Inc",24,$1.43B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/atsg,
AIRG,"Airgain, Inc.",13.15,$127.51M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/airg,
ANTE,AirNet Technology Inc.,0.8601,$10.81M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/ante,
AKAM,"Akamai Technologies, Inc.",111.74,$18.13B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam,
AKTX,Akari Therapeutics Plc,1.95,$65.24M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aktx,
AKCA,"Akcea Therapeutics, Inc.",12.03,$1.22B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akca,
AKBA,"Akebia Therapeutics, Inc.",11.76,$1.68B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akba,
KERN,Akerna Corp.,6.39,$84.72M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kern,
KERNW,Akerna Corp.,0.6,n/a,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kernw,
AKRO,"Akero Therapeutics, Inc.",35.8,$1.24B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akro,
AKER,Akers Biosciences Inc.,4.94,$30.24M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/aker,
AKUS,"Akouos, Inc.",19.3,$626.9M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akus,
AKTS,"Akoustis Technologies, Inc.",7.95,$289.93M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/akts,
ALRM,"Alarm.com Holdings, Inc.",67.8,$3.31B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/alrm,
ALSK,"Alaska Communications Systems Group, Inc.",2.33,$124.8M,1999,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/alsk,
ALAC,Alberton Acquisition Corporation,10.765,$158.14M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alac,
ALACR,Alberton Acquisition Corporation,0.2071,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacr,
ALACU,Alberton Acquisition Corporation,10.6863,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacu,
ALACW,Alberton Acquisition Corporation,0.1515,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacw,
ALBO,"Albireo Pharma, Inc.",25.25,$378.23M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/albo,
ALDX,"Aldeyra Therapeutics, Inc.",6.98,$239.91M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aldx,
ALEC,"Alector, Inc.",22.18,$1.75B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alec,
ALRS,Alerus Financial Corporation,19.79,$338.52M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/alrs,
ALXN,"Alexion Pharmaceuticals, Inc.",101.49,$22.41B,1996,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn,
ALCO,"Alico, Inc.",31.15,$233.19M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/alco,
ALIT,Alight Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alit,
ALGN,"Align Technology, Inc.",298.14,$23.48B,2001,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn,
ALIM,"Alimera Sciences, Inc.",6.26,$31.5M,2010,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alim,
ALYA,Alithya Group inc.,1.54,$89.45M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/alya,
ALJJ,"ALJ Regional Holdings, Inc.",0.6493,$27.38M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/aljj,
ALKS,Alkermes plc,19.79,$3.14B,1991,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alks,
ALLK,Allakos Inc.,83.53,$4.07B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/allk,
ABTX,"Allegiance Bancshares, Inc.",23.98,$489.26M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx,
ALGT,Allegiant Travel Company,113.58,$1.84B,2006,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/algt,
ALNA,"Allena Pharmaceuticals, Inc.",1.65,$53.13M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alna,
ARLP,"Alliance Resource Partners, L.P.",3.39,$431.19M,1999,Energy,Coal Mining,https://old.nasdaq.com/symbol/arlp,
LNT,Alliant Energy Corporation,53.12,$13.25B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt,
AESE,"Allied Esports Entertainment, Inc.",2.29,$64.96M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese,
AHPI,"Allied Healthcare Products, Inc.",11.1,$44.55M,1992,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ahpi,
AMOT,"Allied Motion Technologies, Inc.",36.16,$352M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/amot,
ALLO,"Allogene Therapeutics, Inc.",38.57,$5.35B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/allo,
ALLT,Allot Ltd.,11.67,$404.96M,2006,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/allt,
MDRX,"Allscripts Healthcare Solutions, Inc.",7.03,$1.14B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/mdrx,
ALNY,"Alnylam Pharmaceuticals, Inc.",153.1,$17.58B,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alny,
AOSL,Alpha and Omega Semiconductor Limited,10.51,$263.57M,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/aosl,
GOOG,Alphabet Inc.,1511.87,$1032.03B,2004,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog,
GOOGL,Alphabet Inc.,1508.21,$1029.53B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl,
SMCP,AlphaMark Actively Managed Small Cap ETF,21.0461,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/smcp,
ATEC,"Alphatec Holdings, Inc.",5.1,$326.65M,2006,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/atec,
ALPN,"Alpine Immune Sciences, Inc.",10.1,$187.74M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alpn,
ALTA,Altabancorp,20.55,$386.09M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/alta,
ALTR,Altair Engineering Inc.,38.19,$2.78B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/altr,
ATHE,Alterity Therapeutics Limited,1.45,$26.22M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/athe,
ALT,"Altimmune, Inc.",25.63,$820.22M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alt,
ASPS,Altisource Portfolio Solutions S.A.,13.39,$208.49M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/asps,
AIMC,Altra Industrial Motion Corp.,34.55,$2.23B,2006,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aimc,
ALTM,Altus Midstream Company,13.1,$212.83M,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/altm,
ALXO,ALX Oncology Holdings Inc.,30.25,$1.1B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxo,
AMAG,"AMAG Pharmaceuticals, Inc.",10,$342.73M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amag,
AMAL,Amalgamated Bank,11.17,$346.27M,2018,Consumer Non-Durables,Textiles,https://old.nasdaq.com/symbol/amal,
AMRN,Amarin Corporation plc,6.52,$2.51B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrn,
AMRK,"A-Mark Precious Metals, Inc.",23.11,$162.5M,n/a,Basic Industries,Other Specialty Stores,https://old.nasdaq.com/symbol/amrk,
AMZN,"Amazon.com, Inc.",3008.91,$1500.77B,1997,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn,
AMBC,"Ambac Financial Group, Inc.",13.46,$616.19M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc,
AMBA,"Ambarella, Inc.",44.58,$1.53B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/amba,
AMCX,AMC Networks Inc.,24.87,$1.29B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/amcx,
AMCI,AMCI Acquisition Corp.,10.36,$285.57M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amci,
AMCIU,AMCI Acquisition Corp.,10.8,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amciu,
AMCIW,AMCI Acquisition Corp.,0.4103,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amciw,
DOX,Amdocs Limited,60.52,$8.08B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dox,
AMED,Amedisys Inc,214.74,$6.95B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/amed,
AMTB,Amerant Bancorp Inc.,13.08,$551.53M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amtb,
AMTBB,Amerant Bancorp Inc.,9.3,$392.14M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amtbb,
UHAL,Amerco,316.47,$6.21B,n/a,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/uhal,
AMRH,"Ameri Holdings, Inc.",1.81,$8.21M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrh,
AMRHW,"Ameri Holdings, Inc.",0.0582,n/a,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrhw,
ATAX,"America First Multifamily Investors, L.P.",3.88,$234.92M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/atax,
AMOV,"America Movil, S.A.B. de C.V.",13.01,$56.29B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov,
AAL,"American Airlines Group, Inc.",11.39,$5.79B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal,
AFIN,"American Finance Trust, Inc.",7.03,$762.95M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin,
AFINP,"American Finance Trust, Inc.",22.05,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp,
AMNB,"American National Bankshares, Inc.",23.06,$252.68M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amnb,
ANAT,"American National Group, Inc.",73.12,$1.97B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/anat,
APEI,"American Public Education, Inc.",32.28,$477.14M,2007,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/apei,
AREC,American Resources Corporation,1.37,$35.68M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/arec,
AMRB,American River Bankshares,10.25,$60.66M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amrb,
AMSWA,"American Software, Inc.",15.6,$506.1M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/amswa,
AMSC,American Superconductor Corporation,9.44,$217.89M,1991,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/amsc,
AVCT,"American Virtual Cloud Technologies, Inc. ",3.65,$71.67M,2017,Technology,EDP Services,https://old.nasdaq.com/symbol/avct,
