Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
SGRP,"SPAR Group, Inc.",0.7701,$16.17M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/sgrp,
SPKE,"Spark Energy, Inc.",7.49,$264.47M,2014,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/spke,
SPKEP,"Spark Energy, Inc.",21.38,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/spkep,
SPTN,SpartanNash Company,22.15,$790.33M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/sptn,
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,24.07,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwfi,
SPPI,"Spectrum Pharmaceuticals, Inc.",3.13,$364.55M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sppi,
SPRO,"Spero Therapeutics, Inc.",12.12,$249.61M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/spro,
ANY,Sphere 3D Corp.,3.31,$18.3M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/any,
SPI,"SPI Energy Co., Ltd.",1.425,$21.14M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/spi,
SAVE,"Spirit Airlines, Inc.",16.47,$1.46B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/save,
STXB,"Spirit of Texas Bancshares, Inc.",11.48,$199.39M,2018,Finance,Major Banks,https://old.nasdaq.com/symbol/stxb,
SPLK,Splunk Inc.,199.57,$31.71B,2012,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/splk,
SPOK,"Spok Holdings, Inc.",9.26,$176.16M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/spok,
SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",16.44,$714.4M,2014,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/spwh,
SBPH,"Spring Bank Pharmaceuticals, Inc.",1.89,$32.31M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sbph,
SWTX,"SpringWorks Therapeutics, Inc.",36.54,$1.57B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/swtx,
FUND,"Sprott Focus Trust, Inc.",6.11,$176.25M,n/a,Consumer Services,Miscellaneous,https://old.nasdaq.com/symbol/fund,
SPT,"Sprout Social, Inc",27.07,$1.36B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/spt,
SFM,"Sprouts Farmers Market, Inc.",26.605,$3.13B,2013,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/sfm,
SPSC,"SPS Commerce, Inc.",72.07,$2.52B,2010,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/spsc,
SRAX,"SRAX, Inc.",2.42,$33.96M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/srax,
SSNC,"SS&C Technologies Holdings, Inc.",55.75,$14.31B,2010,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ssnc,
SSRM,SSR Mining Inc.,23.55,$2.9B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ssrm,
STAA,STAAR Surgical Company,54.64,$2.49B,n/a,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/staa,
SRAC,Stable Road Acquisition Corp.,10.02,$221.52M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/srac,
SRACU,Stable Road Acquisition Corp.,10.3,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sracu,
SRACW,Stable Road Acquisition Corp.,0.7977,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sracw,
STAF,"Staffing 360 Solutions, Inc.",0.794,$7.4M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/staf,
STMP,Stamps.com Inc.,215.99,$3.69B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/stmp,
STND,Standard AVB Financial Corp.,20.95,$97.62M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/stnd,
SBLK,Star Bulk Carriers Corp.,6.22,$597.54M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sblk,
SBLKZ,Star Bulk Carriers Corp.,25.1,n/a,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sblkz,
SBUX,Starbucks Corporation,75.78,$88.53B,1992,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/sbux,
STFC,State Auto Financial Corporation,16.41,$718.29M,1991,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/stfc,
MITO,Stealth BioTherapeutics Corp.,2,$98.63M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mito,
GASS,"StealthGas, Inc.",2.49,$97.67M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/gass,
STCN,"Steel Connect, Inc.",0.5474,$34.15M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/stcn,
STLD,"Steel Dynamics, Inc.",27.83,$5.85B,1996,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/stld,
SMRT,"Stein Mart, Inc.",0.3581,$17.37M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/smrt,
SRCL,"Stericycle, Inc.",61,$5.58B,1996,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/srcl,
SBT,"Sterling Bancorp, Inc.",3.18,$159.65M,2017,Finance,Savings Institutions,https://old.nasdaq.com/symbol/sbt,
STRL,Sterling Construction Company Inc,9.93,$277.81M,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/strl,
SHOO,"Steven Madden, Ltd.",22.52,$1.87B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/shoo,
SFIX,"Stitch Fix, Inc.",23.44,$2.4B,2017,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/sfix,
SYBT,"Stock Yards Bancorp, Inc.",40.54,$918.81M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sybt,
STOK,"Stoke Therapeutics, Inc.",25.15,$835.42M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/stok,
BANX,StoneCastle Financial Corp,16.31,$107.02M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/banx,
STNE,StoneCo Ltd.,42.68,$11.82B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/stne,
SNEX,StoneX Group Inc.,55.25,$1.06B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/snex,
SSKN,"Strata Skin Sciences, Inc.",1.2,$40.46M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/sskn,
SSYS,"Stratasys, Ltd.",15.13,$829.11M,1994,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/ssys,
STRA,"Strategic Education, Inc.",163.83,$3.64B,1996,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/stra,
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,24.6011,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hndl,
STRT,Strattec Security Corporation,20.86,$79.65M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/strt,
STRS,Stratus Properties Inc.,18.23,$149.67M,n/a,Consumer Services,Homebuilding,https://old.nasdaq.com/symbol/strs,
STRM,"Streamline Health Solutions, Inc.",1.2764,$39.88M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/strm,
SBBP,Strongbridge Biopharma plc,3.48,$188.78M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sbbp,
SUMR,"Summer Infant, Inc.",10.7499,$22.7M,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/sumr,
SMMF,"Summit Financial Group, Inc.",15.35,$199.12M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/smmf,
SSBI,Summit State Bank,9.185,$55.75M,2006,n/a,n/a,https://old.nasdaq.com/symbol/ssbi,
SMMT,Summit Therapeutics plc,3.62,$243.38M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/smmt,
WISA,"Summit Wireless Technologies, Inc.",2.26,$17.45M,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/wisa,
SNDE,Sundance Energy Inc. ,3,$20.63M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/snde,
SNDL,Sundial Growers Inc.,0.6909,$74.17M,2019,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/sndl,
SNSS,"Sunesis Pharmaceuticals, Inc.",0.3522,$39.23M,2005,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/snss,
STKL,"SunOpta, Inc.",5.69,$610.61M,n/a,Consumer Services,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/stkl,
SPWR,SunPower Corporation,9.74,$1.66B,2005,Technology,Semiconductors,https://old.nasdaq.com/symbol/spwr,
RUN,Sunrun Inc.,40.99,$5.02B,2015,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/run,
SUNW,"Sunworks, Inc.",1.31,$21.78M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/sunw,
SLGG,"Super League Gaming, Inc.",2.34,$24.4M,2019,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/slgg,
SMCI,"Super Micro Computer, Inc.",27.17,$1.41B,2020,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/smci,
SPCB,"SuperCom, Ltd.",1.31,$21.33M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/spcb,
SCON,Superconductor Technologies Inc.,0.4355,$11.88M,1993,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/scon,
SGC,"Superior Group of Companies, Inc.",13.87,$212.42M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/sgc,
SUPN,"Supernus Pharmaceuticals, Inc.",23.28,$1.22B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/supn,
SPRT,"support.com, Inc.",1.47,$28.01M,2000,Technology,EDP Services,https://old.nasdaq.com/symbol/sprt,
SURF,"Surface Oncology, Inc.",5.35,$209.97M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/surf,
SRGA,"Surgalign Holdings, Inc.",3.13,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/srga,
SGRY,"Surgery Partners, Inc.",15.75,$795.66M,2015,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/sgry,
SRDX,"Surmodics, Inc.",47.59,$647.63M,1998,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/srdx,
SSSS,SuRo Capital Corp.,13.33,$217.01M,2011,n/a,n/a,https://old.nasdaq.com/symbol/ssss,
STRO,"Sutro Biopharma, Inc.",8.04,$288.46M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/stro,
SIVB,SVB Financial Group,230.43,$11.87B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sivb,
SIVBP,SVB Financial Group,25.67,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sivbp,
SVMK,SVMK Inc.,22.35,$3.09B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/svmk,
SWKH,SWK Holdings Corporation,12.96,$167.33M,n/a,Finance,Diversified Financial Services,https://old.nasdaq.com/symbol/swkh,
SYKE,"Sykes Enterprises, Incorporated",27.09,$1.1B,1996,Technology,EDP Services,https://old.nasdaq.com/symbol/syke,
SYNC,"Synacor, Inc.",1.21,$47.73M,2012,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/sync,
SYNL,Synalloy Corporation,7.22,$65.4M,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/synl,
SYNA,Synaptics Incorporated,78.19,$2.66B,2002,Technology,Semiconductors,https://old.nasdaq.com/symbol/syna,
SNCR,"Synchronoss Technologies, Inc.",3.43,$152.78M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/sncr,
SNDX,"Syndax Pharmaceuticals, Inc.",13.39,$483.31M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sndx,
SYNH,"Syneos Health, Inc.",59.53,$6.2B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/synh,
SYBX,"Synlogic, Inc.",2.23,$73.23M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sybx,
